algo,episode,event_idx,total_ms,find_path_ms,path_points,path_length
AStar,9,9,74.81071800066275,74.80007399863098,281,299.882250993909
DStarLite,0,0,180.19592700147768,175.11320799894747,283,311.8233764908632
DStarLite,0,1,23.12812400123221,1.3193730010243598,283,311.8233764908632
DStarLite,0,2,5.2780689984501805,1.3415020002867095,283,311.8233764908632
DStarLite,0,3,9.127833000093233,1.545593000628287,283,311.8233764908632
DStarLite,0,4,7.943802000227151,2.9494410009647254,283,311.8233764908632
DStarLite,0,5,9.05309399968246,1.528051001514541,283,311.8233764908632
DStarLite,0,6,174.62894900018,167.27776499828906,281,314.79393923934043
DStarLite,0,7,11.31950700073503,1.5142709999054205,281,314.79393923934043
DStarLite,0,8,17.85137800106895,10.156515996641247,281,314.79393923934043
DStarLite,0,9,8.943851000367431,1.5274979996320326,281,314.79393923934043
DStarLite,1,0,8.301483001559973,1.5887850022409111,281,289.9411254969543
DStarLite,1,1,24.589644999650773,1.5035270007501822,281,289.9411254969543
DStarLite,1,2,8.63415999992867,1.493442996434169,281,289.9411254969543
DStarLite,1,3,8.15317100204993,1.3917440010118298,281,289.9411254969543
DStarLite,1,4,161.82540700174286,156.49032500004978,281,291.59797974644675
DStarLite,1,5,9.979772999940906,4.170862001046771,281,291.59797974644675
DStarLite,1,6,7.639841001946479,1.467242997023277,281,291.59797974644675
DStarLite,1,7,10.561634997429792,1.895246998174116,281,291.59797974644675
DStarLite,1,8,8.279411998955766,1.5528190015174914,281,291.59797974644675
DStarLite,1,9,8.649658000649652,1.441150001483038,281,291.59797974644675
DStarLite,2,0,6.2807630019960925,1.2857129986514337,281,293.25483399593924
DStarLite,2,1,24.2796870006714,1.4971890013839584,281,293.25483399593924
DStarLite,2,2,9.761113000422483,4.065945002366789,281,293.25483399593924
DStarLite,2,3,7.337432998610893,1.5206839998427313,281,293.25483399593924
DStarLite,2,4,7.201545999123482,1.480008002545219,281,293.25483399593924
DStarLite,2,5,6.959083999390714,1.4192529997671954,281,293.25483399593924
DStarLite,2,6,6.487914997705957,1.504759999079397,281,293.25483399593924
DStarLite,2,7,21.93458900001133,14.097390001552412,281,293.25483399593924
DStarLite,2,8,8.424806997936685,1.4713689997734036,281,293.25483399593924
DStarLite,2,9,8.72787299886113,1.539832999696955,281,293.25483399593924
DStarLite,3,0,7.958284000778804,1.491483999416232,281,291.59797974644675
DStarLite,3,1,24.644763998367125,1.4458590012509376,281,291.59797974644675
DStarLite,3,2,7.288815999345388,1.456065998354461,281,291.59797974644675
DStarLite,3,3,7.796077999955742,1.4722960004291963,281,291.59797974644675
DStarLite,3,4,8.27535400094348,1.562975001434097,281,291.59797974644675
DStarLite,3,5,9.544360000290908,3.5002280019398313,281,291.59797974644675
DStarLite,3,6,8.493262001138646,1.5476070002478082,281,291.59797974644675
DStarLite,3,7,7.93422600327176,1.5614379990438465,281,291.59797974644675
DStarLite,3,8,7.8988479981489945,1.6644950010231696,281,291.59797974644675
DStarLite,3,9,8.789632996922592,1.5410119995067362,281,291.59797974644675
DStarLite,4,0,7.939004000945715,1.571369997691363,281,297.39696961967013
DStarLite,4,1,24.673781997989863,1.9025109977519605,281,297.39696961967013
DStarLite,4,2,8.144035000441363,1.5388799984066281,281,297.39696961967013
DStarLite,4,3,76.46136299808859,68.47595400176942,281,297.3969696196703
DStarLite,4,4,8.480673997837584,1.6608270016149618,281,297.3969696196703
DStarLite,4,5,9.938879000401357,1.793935996829532,281,297.3969696196703
DStarLite,4,6,10.438074001285713,1.5253299970936496,281,297.3969696196703
DStarLite,4,7,165.11998799978755,158.52474900020752,281,299.0538238691627
DStarLite,4,8,9.497671002463903,1.3926639985584188,281,299.0538238691627
DStarLite,4,9,9.346234000986442,1.5385510014311876,281,299.0538238691627
DStarLite,5,0,8.7145090001286,1.4219820004655048,281,280.8284271247462
DStarLite,5,1,22.246043001359794,1.6824980011733714,281,280.8284271247462
DStarLite,5,2,7.839219000743469,1.6558739989704918,281,280.8284271247462
DStarLite,5,3,7.358648002991686,1.5156469999055844,281,280.8284271247462
DStarLite,5,4,6.586732000869233,1.435517999198055,281,280.8284271247462
DStarLite,5,5,6.576924999535549,1.502923001680756,281,280.8284271247462
DStarLite,5,6,11.588208999455674,1.4780609999434091,281,280.8284271247462
DStarLite,5,7,7.872842001233948,1.5182800016191322,281,280.8284271247462
DStarLite,5,8,140.95925400033593,134.77234599849908,281,287.4558441227157
DStarLite,5,9,10.53089299966814,1.8255169998155907,281,287.4558441227157
DStarLite,6,0,5.90770299822907,1.3017999990552198,281,280.0
DStarLite,6,1,25.800112998695113,1.593291999597568,281,280.0
DStarLite,6,2,8.472606001305394,1.4384300011442974,281,280.0
DStarLite,6,3,7.497950002289144,1.4829940009803977,281,280.0
DStarLite,6,4,10.321391000616131,1.5921289996185806,281,280.0
DStarLite,6,5,265.9297760001209,257.5828740009456,282,298.81118318204335
DStarLite,6,6,8.476156999677187,1.6039010006352328,282,298.81118318204335
DStarLite,6,7,71.18892099970253,64.76563699834514,282,298.81118318204335
DStarLite,6,8,9.309911998570897,1.9146199992974289,282,298.81118318204335
DStarLite,6,9,12.265380002645543,1.6742440020607319,282,298.81118318204335
DStarLite,7,0,8.047742001508595,2.152649001800455,281,281.6568542494924
DStarLite,7,1,24.35862699712743,1.3986560006742366,281,281.6568542494924
DStarLite,7,2,7.2475119995942805,1.701961999060586,281,281.6568542494924
DStarLite,7,3,9.17792499967618,1.502116003393894,281,281.6568542494924
DStarLite,7,4,8.249652000813512,1.46464899808052,281,281.6568542494924
DStarLite,7,5,6.692580001981696,1.5014460004749708,281,281.6568542494924
DStarLite,7,6,103.67422399940551,95.77931799867656,281,285.79898987322343
DStarLite,7,7,9.641676002502209,1.6489730005559977,281,285.79898987322343
DStarLite,7,8,16.41677799852914,9.3689440000162,281,285.79898987322343
DStarLite,7,9,8.4129250026308,1.448396000341745,281,285.79898987322343
DStarLite,8,0,7.650799001567066,1.9304990019008983,281,280.0
DStarLite,8,1,24.142647002008744,1.3948840023658704,281,280.0
DStarLite,8,2,5.848840999533422,1.3284119995660149,281,280.0
DStarLite,8,3,68.37844999972731,63.1200070019986,281,282.4852813742385
DStarLite,8,4,7.4527570031932555,1.5667619991290849,281,282.4852813742385
DStarLite,8,5,9.892884001601487,1.5660850003769156,281,282.4852813742385
DStarLite,8,6,6.734198999765795,1.6491599999426398,281,282.4852813742385
DStarLite,8,7,8.458107000478776,1.475359000323806,281,282.4852813742385
DStarLite,8,8,7.834039999579545,1.498040001024492,281,282.4852813742385
DStarLite,8,9,7.895442002336495,1.9750190003833268,281,282.4852813742385
DStarLite,9,0,8.453858998109354,1.4449839982262347,281,299.882250993909
DStarLite,9,1,26.938334998703795,1.4278250018833205,281,299.882250993909
DStarLite,9,2,7.686425000429153,1.409663000231376,281,299.882250993909
DStarLite,9,3,7.446325998898828,1.4532189998135436,281,299.882250993909
DStarLite,9,4,16.396500999690033,8.093569998891326,281,299.882250993909
DStarLite,9,5,8.794679000857286,1.6946929972618818,281,299.882250993909
DStarLite,9,6,8.689409998623887,1.4648239994130563,281,299.882250993909
DStarLite,9,7,8.818054000585107,1.615936002053786,281,299.882250993909
DStarLite,9,8,9.37619199976325,1.4958030005800538,281,299.882250993909
DStarLite,9,9,8.310214001539862,1.4424299988604616,281,299.882250993909
