algo,obstacle_count,trial,elapsed_ms,path_points,path_length
AStar,30,6,63.28032999954303,281,291.59797974644664
AStar,30,7,75.25499999974272,281,303.19595949289396
AStar,30,8,71.22873899788829,281,299.8822509939089
AStar,30,9,61.67107899818802,281,291.597979746447
AStar,30,10,96.04128199862316,281,308.99494936611745
AStar,30,11,65.7042780003394,281,307.33809511662474
AStar,30,12,56.68669300212059,287,300.08326112068534
AStar,30,13,61.64974900093512,281,296.5685424949241
AStar,30,14,68.40077800006839,281,294.91168824543183
AStar,30,15,70.12622899856069,282,311.2375900532362
AStar,30,16,92.21815799901378,291,335.56349186104137
AStar,30,17,65.25077500191401,285,319.6223663640865
AStar,30,18,58.30181300188997,281,303.1959594928932
AStar,30,19,83.06710599936196,297,316.7106781186552
DStarLite,5,0,270.25178099938785,281,292.426406871193
DStarLite,5,1,134.17857300009928,281,287.4558441227158
DStarLite,5,2,32.10194300118019,281,280.8284271247462
DStarLite,5,3,147.1281710000767,281,286.6274169979695
DStarLite,5,4,177.29129899817053,281,292.426406871193
DStarLite,5,5,165.6274699998903,281,288.284271247462
DStarLite,5,6,16.17171500038239,281,280.0
DStarLite,5,7,17.970229000638938,281,280.0
DStarLite,5,8,39.422858997568255,281,281.6568542494924
DStarLite,5,9,17.303786997217685,281,280.0
DStarLite,5,10,50.09651100044721,281,281.6568542494924
DStarLite,5,11,17.23838999896543,281,280.0
DStarLite,5,12,69.22624499929952,281,282.4852813742385
DStarLite,5,13,294.73817300095106,281,292.426406871193
DStarLite,5,14,18.896541998401517,281,280.0
DStarLite,5,15,189.9763730034465,281,287.4558441227158
DStarLite,5,16,116.28498900245177,281,287.4558441227158
DStarLite,5,17,108.4173799972632,281,284.142135623731
DStarLite,5,18,67.23953199980315,281,283.31370849898485
DStarLite,5,19,16.556591999687953,281,280.0
DStarLite,15,0,177.34679299974232,281,288.284271247462
DStarLite,15,1,267.4950250002439,281,300.71067811865504
DStarLite,15,2,17.73909799885587,281,280.0
DStarLite,15,3,17.411847999028396,281,280.0
DStarLite,15,4,498.3355500007747,281,304.02438661763983
DStarLite,15,5,316.8473339974298,281,299.05382386916267
DStarLite,15,6,145.2332840017334,281,285.7989898732234
DStarLite,15,7,76.13760000094771,281,286.6274169979697
DStarLite,15,8,17.081072001019493,281,280.0
DStarLite,15,9,16.691252996679395,281,280.0
DStarLite,15,10,564.1181440005312,281,310.6518036156092
DStarLite,15,11,16.637619999528397,281,280.0
DStarLite,15,12,80.64560099955997,281,283.3137084989848
DStarLite,15,13,397.5329230015632,281,308.16652224137084
DStarLite,15,14,19.04510299937101,281,280.0
DStarLite,15,15,107.68922299757833,281,288.2842712474621
DStarLite,15,16,370.10029799785116,281,309.8233764908634
DStarLite,15,17,176.6690779986675,281,290.76955262170077
DStarLite,15,18,96.03813500143588,281,285.7989898732234
DStarLite,15,19,157.56136299751233,281,291.5979797464468
DStarLite,30,0,230.78382099993178,281,302.3675323681474
DStarLite,30,1,355.33898300127476,281,299.8822509939085
DStarLite,30,2,86.18696100165835,281,284.14213562373106
DStarLite,30,3,195.467984998686,281,295.74011537017793
DStarLite,30,4,96.82213999985834,281,286.6274169979697
DStarLite,30,5,181.1434229966835,281,292.4264068711931
DStarLite,30,6,163.18776399930357,281,291.59797974644664
DStarLite,30,7,174.73550399881788,281,303.19595949289385
DStarLite,30,8,152.47204799743486,281,299.8822509939089
DStarLite,30,9,191.2051959989185,281,291.5979797464468
DStarLite,30,10,298.00742000225,281,308.99494936611745
DStarLite,30,11,298.6695539984794,281,307.3380951166246
DStarLite,30,12,290.2943890003371,287,300.08326112068534
DStarLite,30,13,269.7657699973206,281,296.5685424949241
DStarLite,30,14,198.32866200158605,281,294.91168824543183
DStarLite,30,15,302.65177699766355,282,311.23759005323626
DStarLite,30,16,385.4607510002097,291,335.56349186104137
DStarLite,30,17,380.1689270003408,285,319.6223663640865
DStarLite,30,18,434.8013130002073,281,303.1959594928932
DStarLite,30,19,333.28014299695496,297,316.7106781186552
